"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"38",0.8,0,2000,2,"subject","mean",0.7536,0.67313,0.81491,107,44853,419.18691588785,1,0.873306074766355,"Stroop_1","internal_consistency"
"39",0.9,0,2000,2,"subject","mean",0.75592,0.68186,0.81904,107,44853,419.18691588785,1,0.873306074766355,"Stroop_1","internal_consistency"
"40",0,100,2000,2,"subject","mean",0.76617,0.6743,0.8298,107,44811,418.794392523364,1,0.872488317757009,"Stroop_1","internal_consistency"
"41",0.8,100,2000,2,"subject","mean",0.76457,0.67663,0.83331,107,44811,418.794392523364,1,0.872488317757009,"Stroop_1","internal_consistency"
"42",0.9,100,2000,2,"subject","mean",0.76777,0.68851,0.8332,107,44811,418.794392523364,1,0.872488317757009,"Stroop_1","internal_consistency"
"43",0,200,2000,2,"subject","mean",0.76254,0.66496,0.82976,107,44779,418.495327102804,1,0.871865264797508,"Stroop_1","internal_consistency"
"44",0.8,200,2000,2,"subject","mean",0.76302,0.66997,0.8324,107,44779,418.495327102804,1,0.871865264797508,"Stroop_1","internal_consistency"
"45",0.9,200,2000,2,"subject","mean",0.7631,0.67357,0.83417,107,44779,418.495327102804,1,0.871865264797508,"Stroop_1","internal_consistency"
"46",0,0,3000,2,"subject","mean",0.76748,0.69126,0.83109,107,45101,421.504672897196,1,0.878134735202492,"Stroop_1","internal_consistency"
"47",0.8,0,3000,2,"subject","mean",0.76757,0.6921,0.83394,107,45101,421.504672897196,1,0.878134735202492,"Stroop_1","internal_consistency"
"48",0.9,0,3000,2,"subject","mean",0.76709,0.69513,0.83307,107,45101,421.504672897196,1,0.878134735202492,"Stroop_1","internal_consistency"
"49",0,100,3000,2,"subject","mean",0.77264,0.68698,0.84022,107,45058,421.102803738318,1,0.877297507788162,"Stroop_1","internal_consistency"
"50",0.8,100,3000,2,"subject","mean",0.77401,0.69772,0.83625,107,45058,421.102803738318,1,0.877297507788162,"Stroop_1","internal_consistency"
"51",0.9,100,3000,2,"subject","mean",0.77326,0.69036,0.841,107,45058,421.102803738318,1,0.877297507788162,"Stroop_1","internal_consistency"
"52",0,200,3000,2,"subject","mean",0.77608,0.68816,0.83975,107,45026,420.803738317757,1,0.87667445482866,"Stroop_1","internal_consistency"
"53",0.8,200,3000,2,"subject","mean",0.77217,0.6798,0.84376,107,45026,420.803738317757,1,0.87667445482866,"Stroop_1","internal_consistency"
"54",0.9,200,3000,2,"subject","mean",0.77012,0.68224,0.83519,107,45026,420.803738317757,1,0.87667445482866,"Stroop_1","internal_consistency"
"55",0,0,2000,3,"subject","mean",0.7527,0.66852,0.81848,107,46244,432.18691588785,1,0.900389408099688,"Stroop_1","internal_consistency"
"56",0.8,0,2000,3,"subject","mean",0.75014,0.66692,0.81607,107,46244,432.18691588785,1,0.900389408099688,"Stroop_1","internal_consistency"
"57",0.9,0,2000,3,"subject","mean",0.75339,0.67641,0.82129,107,46244,432.18691588785,1,0.900389408099688,"Stroop_1","internal_consistency"
"58",0,100,2000,3,"subject","mean",0.75773,0.67729,0.82173,107,46197,431.747663551402,1,0.899474299065421,"Stroop_1","internal_consistency"
"59",0.8,100,2000,3,"subject","mean",0.7555,0.68256,0.82196,107,46197,431.747663551402,1,0.899474299065421,"Stroop_1","internal_consistency"
"60",0.9,100,2000,3,"subject","mean",0.75407,0.66944,0.81798,107,46197,431.747663551402,1,0.899474299065421,"Stroop_1","internal_consistency"
"61",0,200,2000,3,"subject","mean",0.7383,0.62121,0.81774,107,46163,431.429906542056,1,0.89881230529595,"Stroop_1","internal_consistency"
"62",0.8,200,2000,3,"subject","mean",0.74482,0.6362,0.82039,107,46163,431.429906542056,1,0.89881230529595,"Stroop_1","internal_consistency"
"63",0.9,200,2000,3,"subject","mean",0.73826,0.6239,0.82458,107,46163,431.429906542056,1,0.89881230529595,"Stroop_1","internal_consistency"
"64",0,0,3000,3,"subject","mean",0.75693,0.6845,0.8243,107,46372,433.383177570093,1,0.902881619937695,"Stroop_1","internal_consistency"
"65",0.8,0,3000,3,"subject","mean",0.75556,0.66671,0.82044,107,46372,433.383177570093,1,0.902881619937695,"Stroop_1","internal_consistency"
"66",0.9,0,3000,3,"subject","mean",0.75665,0.67296,0.82256,107,46372,433.383177570093,1,0.902881619937695,"Stroop_1","internal_consistency"
"67",0,100,3000,3,"subject","mean",0.75784,0.67628,0.82977,107,46324,432.934579439252,1,0.901947040498442,"Stroop_1","internal_consistency"
"68",0.8,100,3000,3,"subject","mean",0.75918,0.66799,0.83532,107,46324,432.934579439252,1,0.901947040498442,"Stroop_1","internal_consistency"
"69",0.9,100,3000,3,"subject","mean",0.75674,0.66244,0.82574,107,46324,432.934579439252,1,0.901947040498442,"Stroop_1","internal_consistency"
"70",0,200,3000,3,"subject","mean",0.74523,0.64131,0.82505,107,46290,432.616822429907,1,0.901285046728972,"Stroop_1","internal_consistency"
"71",0.8,200,3000,3,"subject","mean",0.74976,0.65257,0.82646,107,46290,432.616822429907,1,0.901285046728972,"Stroop_1","internal_consistency"
"72",0.9,200,3000,3,"subject","mean",0.74772,0.63108,0.82211,107,46290,432.616822429907,1,0.901285046728972,"Stroop_1","internal_consistency"
"73",0,0,2000,0,"trial","mean",0.723,0.62548,0.8007,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"74",0.8,0,2000,0,"trial","mean",0.72553,0.62058,0.80125,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"75",0.9,0,2000,0,"trial","mean",0.72223,0.63281,0.80045,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"76",0,100,2000,0,"trial","mean",0.72671,0.62698,0.80179,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"77",0.8,100,2000,0,"trial","mean",0.7262,0.62908,0.79818,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"78",0.9,100,2000,0,"trial","mean",0.72703,0.62242,0.80383,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"79",0,200,2000,0,"trial","mean",0.70715,0.57036,0.79227,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"80",0.8,200,2000,0,"trial","mean",0.71043,0.59654,0.79458,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"81",0.9,200,2000,0,"trial","mean",0.71165,0.5898,0.79117,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"82",0,0,3000,0,"trial","mean",0.72839,0.62477,0.80102,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"83",0.8,0,3000,0,"trial","mean",0.7258,0.64401,0.8039,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"84",0.9,0,3000,0,"trial","mean",0.72733,0.63464,0.80199,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"85",0,100,3000,0,"trial","mean",0.73125,0.64743,0.80376,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"86",0.8,100,3000,0,"trial","mean",0.73238,0.63636,0.80693,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"87",0.9,100,3000,0,"trial","mean",0.73331,0.64375,0.81155,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"88",0,200,3000,0,"trial","mean",0.71689,0.61306,0.79652,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"89",0.8,200,3000,0,"trial","mean",0.71675,0.59879,0.79979,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"90",0.9,200,3000,0,"trial","mean",0.7169,0.58428,0.79904,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"91",0,0,2000,1,"trial","mean",0.91273,0.88468,0.93795,107,35055,327.616822429907,1,0.682535046728972,"Stroop_1","internal_consistency"
"92",0.8,0,2000,1,"trial","mean",0.91281,0.88309,0.93748,107,35055,327.616822429907,1,0.682535046728972,"Stroop_1","internal_consistency"
"93",0.9,0,2000,1,"trial","mean",0.91275,0.88462,0.93599,107,35055,327.616822429907,1,0.682535046728972,"Stroop_1","internal_consistency"
"94",0,100,2000,1,"trial","mean",0.92425,0.89646,0.94603,107,34998,327.084112149533,1,0.68142523364486,"Stroop_1","internal_consistency"
"95",0.8,100,2000,1,"trial","mean",0.92287,0.89236,0.94437,107,34998,327.084112149533,1,0.68142523364486,"Stroop_1","internal_consistency"
"96",0.9,100,2000,1,"trial","mean",0.92328,0.89679,0.94619,107,34998,327.084112149533,1,0.68142523364486,"Stroop_1","internal_consistency"
"97",0,200,2000,1,"trial","mean",0.91997,0.88739,0.94178,107,34973,326.85046728972,1,0.680938473520249,"Stroop_1","internal_consistency"
"98",0.8,200,2000,1,"trial","mean",0.91931,0.88532,0.94226,107,34973,326.85046728972,1,0.680938473520249,"Stroop_1","internal_consistency"
"99",0.9,200,2000,1,"trial","mean",0.9199,0.88893,0.94286,107,34973,326.85046728972,1,0.680938473520249,"Stroop_1","internal_consistency"
"100",0,0,3000,1,"trial","mean",0.91289,0.88535,0.93779,107,35917,335.672897196262,1,0.699318535825545,"Stroop_1","internal_consistency"
"101",0.8,0,3000,1,"trial","mean",0.91479,0.88614,0.93995,107,35917,335.672897196262,1,0.699318535825545,"Stroop_1","internal_consistency"
"102",0.9,0,3000,1,"trial","mean",0.91318,0.88318,0.93774,107,35917,335.672897196262,1,0.699318535825545,"Stroop_1","internal_consistency"
"103",0,100,3000,1,"trial","mean",0.92414,0.89948,0.9458,107,35857,335.11214953271,1,0.69815031152648,"Stroop_1","internal_consistency"
"104",0.8,100,3000,1,"trial","mean",0.9246,0.89639,0.94749,107,35857,335.11214953271,1,0.69815031152648,"Stroop_1","internal_consistency"
"105",0.9,100,3000,1,"trial","mean",0.92507,0.89745,0.94458,107,35857,335.11214953271,1,0.69815031152648,"Stroop_1","internal_consistency"
"106",0,200,3000,1,"trial","mean",0.92043,0.89044,0.94364,107,35831,334.869158878505,1,0.697644080996885,"Stroop_1","internal_consistency"
"107",0.8,200,3000,1,"trial","mean",0.92035,0.88996,0.94433,107,35831,334.869158878505,1,0.697644080996885,"Stroop_1","internal_consistency"
"108",0.9,200,3000,1,"trial","mean",0.92119,0.89195,0.94399,107,35831,334.869158878505,1,0.697644080996885,"Stroop_1","internal_consistency"
"109",0,0,2000,2,"trial","mean",0.82274,0.76302,0.87291,107,44867,419.317757009346,1,0.873578660436137,"Stroop_1","internal_consistency"
"110",0.8,0,2000,2,"trial","mean",0.82413,0.75635,0.87376,107,44867,419.317757009346,1,0.873578660436137,"Stroop_1","internal_consistency"
"111",0.9,0,2000,2,"trial","mean",0.82439,0.76866,0.87403,107,44867,419.317757009346,1,0.873578660436137,"Stroop_1","internal_consistency"
"112",0,100,2000,2,"trial","mean",0.83232,0.77275,0.87698,107,44824,418.915887850467,1,0.872741433021807,"Stroop_1","internal_consistency"
"113",0.8,100,2000,2,"trial","mean",0.83546,0.77657,0.8821,107,44824,418.915887850467,1,0.872741433021807,"Stroop_1","internal_consistency"
"114",0.9,100,2000,2,"trial","mean",0.83395,0.77378,0.8809,107,44824,418.915887850467,1,0.872741433021807,"Stroop_1","internal_consistency"
"115",0,200,2000,2,"trial","mean",0.8163,0.73974,0.86459,107,44792,418.616822429907,1,0.872118380062305,"Stroop_1","internal_consistency"
