"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"38",0.8,0,2000,2,"subject","mean",0.61971,0.48338,0.72678,107,22443,209.747663551402,1,0.873948598130841,"Stroop_1","internal_consistency"
"39",0.9,0,2000,2,"subject","mean",0.61588,0.49911,0.72321,107,22443,209.747663551402,1,0.873948598130841,"Stroop_1","internal_consistency"
"40",0,100,2000,2,"subject","mean",0.63512,0.5117,0.73379,107,22422,209.551401869159,1,0.873130841121495,"Stroop_1","internal_consistency"
"41",0.8,100,2000,2,"subject","mean",0.63776,0.50766,0.7278,107,22422,209.551401869159,1,0.873130841121495,"Stroop_1","internal_consistency"
"42",0.9,100,2000,2,"subject","mean",0.64185,0.5277,0.74882,107,22422,209.551401869159,1,0.873130841121495,"Stroop_1","internal_consistency"
"43",0,200,2000,2,"subject","mean",0.60994,0.47655,0.71508,107,22406,209.401869158878,1,0.872507788161994,"Stroop_1","internal_consistency"
"44",0.8,200,2000,2,"subject","mean",0.60843,0.4507,0.71877,107,22406,209.401869158878,1,0.872507788161994,"Stroop_1","internal_consistency"
"45",0.9,200,2000,2,"subject","mean",0.61437,0.46695,0.72328,107,22406,209.401869158878,1,0.872507788161994,"Stroop_1","internal_consistency"
"46",0,0,3000,2,"subject","mean",0.60282,0.46026,0.71388,107,22606,211.271028037383,1,0.880295950155763,"Stroop_1","internal_consistency"
"47",0.8,0,3000,2,"subject","mean",0.60293,0.46899,0.71173,107,22606,211.271028037383,1,0.880295950155763,"Stroop_1","internal_consistency"
"48",0.9,0,3000,2,"subject","mean",0.60875,0.48423,0.70819,107,22606,211.271028037383,1,0.880295950155763,"Stroop_1","internal_consistency"
"49",0,100,3000,2,"subject","mean",0.62947,0.49925,0.73536,107,22585,211.07476635514,1,0.879478193146417,"Stroop_1","internal_consistency"
"50",0.8,100,3000,2,"subject","mean",0.62625,0.5102,0.73642,107,22585,211.07476635514,1,0.879478193146417,"Stroop_1","internal_consistency"
"51",0.9,100,3000,2,"subject","mean",0.6322,0.50811,0.73925,107,22585,211.07476635514,1,0.879478193146417,"Stroop_1","internal_consistency"
"52",0,200,3000,2,"subject","mean",0.59959,0.45197,0.71481,107,22569,210.92523364486,1,0.878855140186916,"Stroop_1","internal_consistency"
"53",0.8,200,3000,2,"subject","mean",0.59701,0.45983,0.72376,107,22569,210.92523364486,1,0.878855140186916,"Stroop_1","internal_consistency"
"54",0.9,200,3000,2,"subject","mean",0.6009,0.44775,0.71729,107,22569,210.92523364486,1,0.878855140186916,"Stroop_1","internal_consistency"
"55",0,0,2000,3,"subject","mean",0.61197,0.48113,0.71128,107,23174,216.579439252336,1,0.902414330218068,"Stroop_1","internal_consistency"
"56",0.8,0,2000,3,"subject","mean",0.61276,0.47486,0.72914,107,23174,216.579439252336,1,0.902414330218068,"Stroop_1","internal_consistency"
"57",0.9,0,2000,3,"subject","mean",0.61577,0.49158,0.72632,107,23174,216.579439252336,1,0.902414330218068,"Stroop_1","internal_consistency"
"58",0,100,2000,3,"subject","mean",0.61594,0.48218,0.72929,107,23151,216.364485981308,1,0.901518691588785,"Stroop_1","internal_consistency"
"59",0.8,100,2000,3,"subject","mean",0.61893,0.48382,0.72016,107,23151,216.364485981308,1,0.901518691588785,"Stroop_1","internal_consistency"
"60",0.9,100,2000,3,"subject","mean",0.6179,0.49457,0.72725,107,23151,216.364485981308,1,0.901518691588785,"Stroop_1","internal_consistency"
"61",0,200,2000,3,"subject","mean",0.59747,0.44623,0.71815,107,23133,216.196261682243,1,0.900817757009346,"Stroop_1","internal_consistency"
"62",0.8,200,2000,3,"subject","mean",0.59857,0.44893,0.71622,107,23133,216.196261682243,1,0.900817757009346,"Stroop_1","internal_consistency"
"63",0.9,200,2000,3,"subject","mean",0.59918,0.45433,0.71087,107,23133,216.196261682243,1,0.900817757009346,"Stroop_1","internal_consistency"
"64",0,0,3000,3,"subject","mean",0.60535,0.48641,0.70664,107,23242,217.214953271028,1,0.90506230529595,"Stroop_1","internal_consistency"
"65",0.8,0,3000,3,"subject","mean",0.60218,0.46342,0.71225,107,23242,217.214953271028,1,0.90506230529595,"Stroop_1","internal_consistency"
"66",0.9,0,3000,3,"subject","mean",0.59661,0.44151,0.70488,107,23242,217.214953271028,1,0.90506230529595,"Stroop_1","internal_consistency"
"67",0,100,3000,3,"subject","mean",0.60444,0.46371,0.71194,107,23219,217,1,0.904166666666667,"Stroop_1","internal_consistency"
"68",0.8,100,3000,3,"subject","mean",0.60644,0.47465,0.71284,107,23219,217,1,0.904166666666667,"Stroop_1","internal_consistency"
"69",0.9,100,3000,3,"subject","mean",0.6051,0.46763,0.71875,107,23219,217,1,0.904166666666667,"Stroop_1","internal_consistency"
"70",0,200,3000,3,"subject","mean",0.59178,0.45087,0.71034,107,23201,216.831775700935,1,0.903465732087227,"Stroop_1","internal_consistency"
"71",0.8,200,3000,3,"subject","mean",0.58846,0.44108,0.70261,107,23201,216.831775700935,1,0.903465732087227,"Stroop_1","internal_consistency"
"72",0.9,200,3000,3,"subject","mean",0.5921,0.44994,0.70861,107,23201,216.831775700935,1,0.903465732087227,"Stroop_1","internal_consistency"
"73",0,0,2000,0,"trial","mean",0.57741,0.4576,0.69634,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"74",0.8,0,2000,0,"trial","mean",0.58005,0.44192,0.69153,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"75",0.9,0,2000,0,"trial","mean",0.57749,0.44969,0.68973,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"76",0,100,2000,0,"trial","mean",0.57902,0.42876,0.69143,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"77",0.8,100,2000,0,"trial","mean",0.57622,0.41536,0.69005,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"78",0.9,100,2000,0,"trial","mean",0.57906,0.41095,0.6953,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"79",0,200,2000,0,"trial","mean",0.56116,0.3846,0.68299,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"80",0.8,200,2000,0,"trial","mean",0.55968,0.37606,0.68808,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"81",0.9,200,2000,0,"trial","mean",0.55691,0.3805,0.69225,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"82",0,0,3000,0,"trial","mean",0.56773,0.4307,0.6871,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
"83",0.8,0,3000,0,"trial","mean",0.56665,0.40617,0.68753,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
"84",0.9,0,3000,0,"trial","mean",0.57412,0.43112,0.69556,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
"85",0,100,3000,0,"trial","mean",0.56621,0.41474,0.688,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"86",0.8,100,3000,0,"trial","mean",0.56434,0.4136,0.6939,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"87",0.9,100,3000,0,"trial","mean",0.56109,0.41455,0.67992,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"88",0,200,3000,0,"trial","mean",0.54993,0.39092,0.67501,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"89",0.8,200,3000,0,"trial","mean",0.55654,0.39143,0.68672,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"90",0.9,200,3000,0,"trial","mean",0.55488,0.37643,0.69768,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"91",0,0,2000,1,"trial","mean",0.86134,0.8094,0.89981,107,17516,163.700934579439,1,0.68208722741433,"Stroop_1","internal_consistency"
"92",0.8,0,2000,1,"trial","mean",0.86212,0.81136,0.89668,107,17516,163.700934579439,1,0.68208722741433,"Stroop_1","internal_consistency"
"93",0.9,0,2000,1,"trial","mean",0.8611,0.80692,0.90416,107,17516,163.700934579439,1,0.68208722741433,"Stroop_1","internal_consistency"
"94",0,100,2000,1,"trial","mean",0.87718,0.83758,0.91472,107,17495,163.504672897196,1,0.681269470404984,"Stroop_1","internal_consistency"
"95",0.8,100,2000,1,"trial","mean",0.87643,0.83465,0.91253,107,17495,163.504672897196,1,0.681269470404984,"Stroop_1","internal_consistency"
