"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"38",0.8,0,2000,2,"subject","mean",0.752,0.67157,0.82132,107,44853,419.18691588785,1,0.873306074766355,"Stroop_1","internal_consistency"
"39",0.9,0,2000,2,"subject","mean",0.75737,0.67751,0.8186,107,44853,419.18691588785,1,0.873306074766355,"Stroop_1","internal_consistency"
"40",0,100,2000,2,"subject","mean",0.76438,0.67713,0.83221,107,44811,418.794392523364,1,0.872488317757009,"Stroop_1","internal_consistency"
"41",0.8,100,2000,2,"subject","mean",0.76369,0.67788,0.83507,107,44811,418.794392523364,1,0.872488317757009,"Stroop_1","internal_consistency"
"42",0.9,100,2000,2,"subject","mean",0.76395,0.67712,0.83279,107,44811,418.794392523364,1,0.872488317757009,"Stroop_1","internal_consistency"
"43",0,200,2000,2,"subject","mean",0.76135,0.66229,0.83544,107,44779,418.495327102804,1,0.871865264797508,"Stroop_1","internal_consistency"
"44",0.8,200,2000,2,"subject","mean",0.76197,0.67486,0.8361,107,44779,418.495327102804,1,0.871865264797508,"Stroop_1","internal_consistency"
"45",0.9,200,2000,2,"subject","mean",0.76228,0.66945,0.83432,107,44779,418.495327102804,1,0.871865264797508,"Stroop_1","internal_consistency"
"46",0,0,3000,2,"subject","mean",0.76324,0.68489,0.82561,107,45101,421.504672897196,1,0.878134735202492,"Stroop_1","internal_consistency"
"47",0.8,0,3000,2,"subject","mean",0.76491,0.69478,0.83186,107,45101,421.504672897196,1,0.878134735202492,"Stroop_1","internal_consistency"
"48",0.9,0,3000,2,"subject","mean",0.7666,0.692,0.82789,107,45101,421.504672897196,1,0.878134735202492,"Stroop_1","internal_consistency"
"49",0,100,3000,2,"subject","mean",0.77427,0.69019,0.83923,107,45058,421.102803738318,1,0.877297507788162,"Stroop_1","internal_consistency"
"50",0.8,100,3000,2,"subject","mean",0.77295,0.69247,0.83777,107,45058,421.102803738318,1,0.877297507788162,"Stroop_1","internal_consistency"
"51",0.9,100,3000,2,"subject","mean",0.7745,0.68772,0.83882,107,45058,421.102803738318,1,0.877297507788162,"Stroop_1","internal_consistency"
"52",0,200,3000,2,"subject","mean",0.7737,0.68051,0.83707,107,45026,420.803738317757,1,0.87667445482866,"Stroop_1","internal_consistency"
"53",0.8,200,3000,2,"subject","mean",0.76637,0.67929,0.8362,107,45026,420.803738317757,1,0.87667445482866,"Stroop_1","internal_consistency"
"54",0.9,200,3000,2,"subject","mean",0.77275,0.6865,0.84064,107,45026,420.803738317757,1,0.87667445482866,"Stroop_1","internal_consistency"
"55",0,0,2000,3,"subject","mean",0.75655,0.67944,0.82784,107,46244,432.18691588785,1,0.900389408099688,"Stroop_1","internal_consistency"
"56",0.8,0,2000,3,"subject","mean",0.75245,0.65868,0.81743,107,46244,432.18691588785,1,0.900389408099688,"Stroop_1","internal_consistency"
"57",0.9,0,2000,3,"subject","mean",0.74898,0.66108,0.81668,107,46244,432.18691588785,1,0.900389408099688,"Stroop_1","internal_consistency"
"58",0,100,2000,3,"subject","mean",0.7567,0.67835,0.82217,107,46197,431.747663551402,1,0.899474299065421,"Stroop_1","internal_consistency"
"59",0.8,100,2000,3,"subject","mean",0.75796,0.66972,0.82811,107,46197,431.747663551402,1,0.899474299065421,"Stroop_1","internal_consistency"
"60",0.9,100,2000,3,"subject","mean",0.75957,0.68192,0.82638,107,46197,431.747663551402,1,0.899474299065421,"Stroop_1","internal_consistency"
"61",0,200,2000,3,"subject","mean",0.74371,0.63619,0.81781,107,46163,431.429906542056,1,0.89881230529595,"Stroop_1","internal_consistency"
"62",0.8,200,2000,3,"subject","mean",0.74335,0.63064,0.81694,107,46163,431.429906542056,1,0.89881230529595,"Stroop_1","internal_consistency"
"63",0.9,200,2000,3,"subject","mean",0.74195,0.6201,0.8203,107,46163,431.429906542056,1,0.89881230529595,"Stroop_1","internal_consistency"
"64",0,0,3000,3,"subject","mean",0.75526,0.66717,0.82546,107,46372,433.383177570093,1,0.902881619937695,"Stroop_1","internal_consistency"
"65",0.8,0,3000,3,"subject","mean",0.75913,0.67975,0.8225,107,46372,433.383177570093,1,0.902881619937695,"Stroop_1","internal_consistency"
"66",0.9,0,3000,3,"subject","mean",0.75747,0.6818,0.82326,107,46372,433.383177570093,1,0.902881619937695,"Stroop_1","internal_consistency"
"67",0,100,3000,3,"subject","mean",0.759,0.6814,0.83326,107,46324,432.934579439252,1,0.901947040498442,"Stroop_1","internal_consistency"
"68",0.8,100,3000,3,"subject","mean",0.7625,0.67944,0.83246,107,46324,432.934579439252,1,0.901947040498442,"Stroop_1","internal_consistency"
"69",0.9,100,3000,3,"subject","mean",0.7574,0.67492,0.82689,107,46324,432.934579439252,1,0.901947040498442,"Stroop_1","internal_consistency"
"70",0,200,3000,3,"subject","mean",0.74761,0.6414,0.82273,107,46290,432.616822429907,1,0.901285046728972,"Stroop_1","internal_consistency"
"71",0.8,200,3000,3,"subject","mean",0.74777,0.63326,0.82165,107,46290,432.616822429907,1,0.901285046728972,"Stroop_1","internal_consistency"
"72",0.9,200,3000,3,"subject","mean",0.74854,0.6369,0.8178,107,46290,432.616822429907,1,0.901285046728972,"Stroop_1","internal_consistency"
"73",0,0,2000,0,"trial","mean",0.7212,0.62833,0.79788,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"74",0.8,0,2000,0,"trial","mean",0.71978,0.62923,0.79843,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"75",0.9,0,2000,0,"trial","mean",0.72148,0.61749,0.79914,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"76",0,100,2000,0,"trial","mean",0.72896,0.62874,0.80246,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"77",0.8,100,2000,0,"trial","mean",0.72806,0.63706,0.79723,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"78",0.9,100,2000,0,"trial","mean",0.72806,0.63347,0.80025,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"79",0,200,2000,0,"trial","mean",0.71035,0.57378,0.79943,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
